Start experiments on cifar10 at level=7 with {'e_lr': 0.001, 'e_dis_lr': 2e-05, 'lambda1': 0.02, 'd_lr': 0.0005, 'd_dis_lr': 1e-08, 'lambda2': 2e-05}
[6299]: fg_loss: 0.0738, e_total_loss: 0.1240, e_dis_loss: 0.0000, d_total_loss: 0.0180, d_dis_loss: 0.0000, attack_loss: 0.0706
[6399]: fg_loss: 0.0632, e_total_loss: 0.1294, e_dis_loss: 0.0000, d_total_loss: 0.0187, d_dis_loss: 0.0000, attack_loss: 0.0726
[6499]: fg_loss: 0.0670, e_total_loss: 0.1204, e_dis_loss: 0.0000, d_total_loss: 0.0182, d_dis_loss: 0.0000, attack_loss: 0.0728
[6599]: fg_loss: 0.0659, e_total_loss: 0.1226, e_dis_loss: 0.0000, d_total_loss: 0.0180, d_dis_loss: 0.0000, attack_loss: 0.0727
[6699]: fg_loss: 0.0558, e_total_loss: 0.1004, e_dis_loss: 0.0000, d_total_loss: 0.0181, d_dis_loss: 0.0000, attack_loss: 0.0738
[6799]: fg_loss: 0.0546, e_total_loss: 0.1038, e_dis_loss: 0.0000, d_total_loss: 0.0182, d_dis_loss: 0.0000, attack_loss: 0.0715
[6899]: fg_loss: 0.0572, e_total_loss: 0.1035, e_dis_loss: 0.0000, d_total_loss: 0.0177, d_dis_loss: 0.0000, attack_loss: 0.0693
[6999]: fg_loss: 0.0637, e_total_loss: 0.1001, e_dis_loss: 0.0000, d_total_loss: 0.0178, d_dis_loss: 0.0000, attack_loss: 0.0682
[7099]: fg_loss: 0.0645, e_total_loss: 0.1109, e_dis_loss: 0.0000, d_total_loss: 0.0181, d_dis_loss: 0.0000, attack_loss: 0.0652
[7199]: fg_loss: 0.0711, e_total_loss: 0.1091, e_dis_loss: 0.0000, d_total_loss: 0.0183, d_dis_loss: 0.0000, attack_loss: 0.0667
[7299]: fg_loss: 0.0732, e_total_loss: 0.1223, e_dis_loss: 0.0000, d_total_loss: 0.0181, d_dis_loss: 0.0000, attack_loss: 0.0660
[7399]: fg_loss: 0.0633, e_total_loss: 0.1109, e_dis_loss: 0.0000, d_total_loss: 0.0176, d_dis_loss: 0.0000, attack_loss: 0.0695
[7499]: fg_loss: 0.0528, e_total_loss: 0.0835, e_dis_loss: 0.0000, d_total_loss: 0.0180, d_dis_loss: 0.0000, attack_loss: 0.0702
[7599]: fg_loss: 0.0501, e_total_loss: 0.0999, e_dis_loss: 0.0000, d_total_loss: 0.0177, d_dis_loss: 0.0000, attack_loss: 0.0684
[7699]: fg_loss: 0.0588, e_total_loss: 0.1049, e_dis_loss: 0.0000, d_total_loss: 0.0179, d_dis_loss: 0.0000, attack_loss: 0.0685
[7799]: fg_loss: 0.0386, e_total_loss: 0.0859, e_dis_loss: 0.0000, d_total_loss: 0.0178, d_dis_loss: 0.0000, attack_loss: 0.0670
