Start vsl/resnet experiments on cifar10 at l7 with {'e_lr': 0.001, 'd_lr': 0.0005, 'lambda1': 0.0, 'lambda2': 1e-05, 'e_dis_lr': 2e-05, 'd_dis_lr': 5e-09}
[11599]: fg_loss: 0.0297, e_total_loss: 0.0506, e_dis_loss: 0.0000, d_total_loss: 0.0162, d_dis_loss: 1.4845, attack_loss: 0.0608
[11699]: fg_loss: 0.0276, e_total_loss: 0.0632, e_dis_loss: 0.0000, d_total_loss: 0.0161, d_dis_loss: 1.5091, attack_loss: 0.0591
[11799]: fg_loss: 0.0247, e_total_loss: 0.0826, e_dis_loss: 0.0000, d_total_loss: 0.0162, d_dis_loss: 1.4863, attack_loss: 0.0611
[11899]: fg_loss: 0.0216, e_total_loss: 0.0702, e_dis_loss: 0.0000, d_total_loss: 0.0163, d_dis_loss: 1.4874, attack_loss: 0.0605
[11999]: fg_loss: 0.0227, e_total_loss: 0.0601, e_dis_loss: 0.0000, d_total_loss: 0.0165, d_dis_loss: 1.4741, attack_loss: 0.0590
[12099]: fg_loss: 0.0423, e_total_loss: 0.0792, e_dis_loss: 0.0000, d_total_loss: 0.0163, d_dis_loss: 1.4791, attack_loss: 0.0590
[12199]: fg_loss: 0.0627, e_total_loss: 0.0993, e_dis_loss: 0.0000, d_total_loss: 0.0163, d_dis_loss: 1.4837, attack_loss: 0.0586
[12299]: fg_loss: 0.0681, e_total_loss: 0.1145, e_dis_loss: 0.0000, d_total_loss: 0.0164, d_dis_loss: 1.4804, attack_loss: 0.0593
[12399]: fg_loss: 0.0522, e_total_loss: 0.0920, e_dis_loss: 0.0000, d_total_loss: 0.0161, d_dis_loss: 1.4843, attack_loss: 0.0577
[12499]: fg_loss: 0.0478, e_total_loss: 0.0710, e_dis_loss: 0.0000, d_total_loss: 0.0163, d_dis_loss: 1.4651, attack_loss: 0.0611
[12599]: fg_loss: 0.0466, e_total_loss: 0.0545, e_dis_loss: 0.0000, d_total_loss: 0.0161, d_dis_loss: 1.4828, attack_loss: 0.0607
