Start experiments on cifar10 at level=7 with {'e_lr': 0.001, 'e_dis_lr': 2e-05, 'lambda1': 0.02, 'd_lr': 0.0005, 'd_dis_lr': 5e-09, 'lambda2': 1e-05, 'hs_lr': 0.001, 'flip_rate': 0.0}
Start running.
[6299]: fg_loss: 0.0638, e_total_loss: 0.4940, e_dis_loss: 0.1662, d_total_loss: 0.0293, d_dis_loss: 1.4611, attack_loss: 0.0409, label_acc: 0.4316
[6399]: fg_loss: 0.0640, e_total_loss: 0.5181, e_dis_loss: 0.1976, d_total_loss: 0.0287, d_dis_loss: 1.4631, attack_loss: 0.0388, label_acc: 0.4345
[6499]: fg_loss: 0.0700, e_total_loss: 0.4907, e_dis_loss: 0.1611, d_total_loss: 0.0295, d_dis_loss: 1.4353, attack_loss: 0.0391, label_acc: 0.4288
[6599]: fg_loss: 0.0686, e_total_loss: 0.4972, e_dis_loss: 0.1546, d_total_loss: 0.0286, d_dis_loss: 1.4616, attack_loss: 0.0382, label_acc: 0.4411
[6699]: fg_loss: 0.0583, e_total_loss: 0.4838, e_dis_loss: 0.1722, d_total_loss: 0.0297, d_dis_loss: 1.4442, attack_loss: 0.0371, label_acc: 0.4428
[6799]: fg_loss: 0.0561, e_total_loss: 0.4572, e_dis_loss: 0.1603, d_total_loss: 0.0282, d_dis_loss: 1.4747, attack_loss: 0.0374, label_acc: 0.4322
[6899]: fg_loss: 0.0635, e_total_loss: 0.4693, e_dis_loss: 0.1510, d_total_loss: 0.0292, d_dis_loss: 1.4806, attack_loss: 0.0367, label_acc: 0.4490
[6999]: fg_loss: 0.0674, e_total_loss: 0.4600, e_dis_loss: 0.1758, d_total_loss: 0.0286, d_dis_loss: 1.4890, attack_loss: 0.0376, label_acc: 0.4430
[7099]: fg_loss: 0.0670, e_total_loss: 0.4778, e_dis_loss: 0.1788, d_total_loss: 0.0285, d_dis_loss: 1.4889, attack_loss: 0.0373, label_acc: 0.4487
[7199]: fg_loss: 0.0661, e_total_loss: 0.4383, e_dis_loss: 0.1526, d_total_loss: 0.0290, d_dis_loss: 1.4827, attack_loss: 0.0370, label_acc: 0.4532
[7299]: fg_loss: 0.0678, e_total_loss: 0.4487, e_dis_loss: 0.1714, d_total_loss: 0.0276, d_dis_loss: 1.4691, attack_loss: 0.0358, label_acc: 0.4531
[7399]: fg_loss: 0.0645, e_total_loss: 0.4480, e_dis_loss: 0.1972, d_total_loss: 0.0291, d_dis_loss: 1.4661, attack_loss: 0.0380, label_acc: 0.4551
