Start experiments on cifar10 at level=7 with {'e_lr': 0.001, 'e_dis_lr': 2e-05, 'lambda1': 0.02, 'd_lr': 0.0005, 'd_dis_lr': 1e-08, 'lambda2': 2e-05}
[5899]: fg_loss: 0.0705, e_total_loss: 0.1415, e_dis_loss: 0.0000, d_total_loss: 0.0156, d_dis_loss: 0.0000, attack_loss: 0.0721
[5999]: fg_loss: 0.0657, e_total_loss: 0.1688, e_dis_loss: 0.0000, d_total_loss: 0.0157, d_dis_loss: 0.0000, attack_loss: 0.0659
[6099]: fg_loss: 0.0733, e_total_loss: 0.1796, e_dis_loss: 0.0000, d_total_loss: 0.0157, d_dis_loss: 0.0000, attack_loss: 0.0662
[6199]: fg_loss: 0.0688, e_total_loss: 0.1844, e_dis_loss: 0.0000, d_total_loss: 0.0155, d_dis_loss: 0.0000, attack_loss: 0.0656
[6299]: fg_loss: 0.0686, e_total_loss: 0.1359, e_dis_loss: 0.0000, d_total_loss: 0.0155, d_dis_loss: 0.0000, attack_loss: 0.0684
[6399]: fg_loss: 0.0712, e_total_loss: 0.1364, e_dis_loss: 0.0000, d_total_loss: 0.0151, d_dis_loss: 0.0000, attack_loss: 0.0691
[6499]: fg_loss: 0.0764, e_total_loss: 0.1110, e_dis_loss: 0.0000, d_total_loss: 0.0152, d_dis_loss: 0.0000, attack_loss: 0.0713
[6599]: fg_loss: 0.0669, e_total_loss: 0.1188, e_dis_loss: 0.0000, d_total_loss: 0.0151, d_dis_loss: 0.0000, attack_loss: 0.0719
[6699]: fg_loss: 0.0678, e_total_loss: 0.1075, e_dis_loss: 0.0000, d_total_loss: 0.0151, d_dis_loss: 0.0000, attack_loss: 0.0734
[6799]: fg_loss: 0.0669, e_total_loss: 0.1091, e_dis_loss: 0.0000, d_total_loss: 0.0151, d_dis_loss: 0.0000, attack_loss: 0.0707
[6899]: fg_loss: 0.0711, e_total_loss: 0.1163, e_dis_loss: 0.0000, d_total_loss: 0.0152, d_dis_loss: 0.0000, attack_loss: 0.0718
[6999]: fg_loss: 0.0562, e_total_loss: 0.1048, e_dis_loss: 0.0000, d_total_loss: 0.0153, d_dis_loss: 0.0000, attack_loss: 0.0691
[7099]: fg_loss: 0.0572, e_total_loss: 0.0856, e_dis_loss: 0.0000, d_total_loss: 0.0151, d_dis_loss: 0.0000, attack_loss: 0.0706
[7199]: fg_loss: 0.0443, e_total_loss: 0.0855, e_dis_loss: 0.0000, d_total_loss: 0.0152, d_dis_loss: 0.0000, attack_loss: 0.0700
[7299]: fg_loss: 0.0425, e_total_loss: 0.0859, e_dis_loss: 0.0000, d_total_loss: 0.0151, d_dis_loss: 0.0000, attack_loss: 0.0709
[7399]: fg_loss: 0.0395, e_total_loss: 0.0876, e_dis_loss: 0.0000, d_total_loss: 0.0151, d_dis_loss: 0.0000, attack_loss: 0.0733
[7499]: fg_loss: 0.0485, e_total_loss: 0.1106, e_dis_loss: 0.0000, d_total_loss: 0.0149, d_dis_loss: 0.0000, attack_loss: 0.0723
[7599]: fg_loss: 0.0603, e_total_loss: 0.1398, e_dis_loss: 0.0000, d_total_loss: 0.0153, d_dis_loss: 0.0000, attack_loss: 0.0708
[7699]: fg_loss: 0.0553, e_total_loss: 0.1162, e_dis_loss: 0.0000, d_total_loss: 0.0155, d_dis_loss: 0.0000, attack_loss: 0.0727
[7799]: fg_loss: 0.0586, e_total_loss: 0.1232, e_dis_loss: 0.0000, d_total_loss: 0.0152, d_dis_loss: 0.0000, attack_loss: 0.0727
[7899]: fg_loss: 0.0591, e_total_loss: 0.1121, e_dis_loss: 0.0000, d_total_loss: 0.0154, d_dis_loss: 0.0000, attack_loss: 0.0702
[7999]: fg_loss: 0.0502, e_total_loss: 0.0851, e_dis_loss: 0.0000, d_total_loss: 0.0152, d_dis_loss: 0.0000, attack_loss: 0.0719
[8099]: fg_loss: 0.0530, e_total_loss: 0.1014, e_dis_loss: 0.0000, d_total_loss: 0.0151, d_dis_loss: 0.0000, attack_loss: 0.0684
[8199]: fg_loss: 0.0496, e_total_loss: 0.1074, e_dis_loss: 0.0000, d_total_loss: 0.0152, d_dis_loss: 0.0000, attack_loss: 0.0714
[8299]: fg_loss: 0.0616, e_total_loss: 0.0860, e_dis_loss: 0.0000, d_total_loss: 0.0151, d_dis_loss: 0.0000, attack_loss: 0.0709
[8399]: fg_loss: 0.0582, e_total_loss: 0.0934, e_dis_loss: 0.0000, d_total_loss: 0.0154, d_dis_loss: 0.0000, attack_loss: 0.0721
[8499]: fg_loss: 0.0614, e_total_loss: 0.0828, e_dis_loss: 0.0000, d_total_loss: 0.0150, d_dis_loss: 0.0000, attack_loss: 0.0689
[8599]: fg_loss: 0.0491, e_total_loss: 0.0790, e_dis_loss: 0.0000, d_total_loss: 0.0148, d_dis_loss: 0.0000, attack_loss: 0.0705
