Start usl/plainnet experiments on cifar10 at l7 with {'e_lr': 0.001, 'd_lr': 0.0005, 'hs_lr': 0.001, 'lambda1': 0.04, 'lambda2': 1e-05, 'flip_rate': 0.1, 'e_dis_lr': 4e-05, 'd_dis_lr': 5e-09}
Start running.
[6099]: fg_loss: 0.1256, e_total_loss: 1.6600, e_dis_loss: 0.0737, d_total_loss: 0.0533, d_dis_loss: 1.3850, attack_loss: 0.0869, label_acc: 0.0025
[6199]: fg_loss: 0.1081, e_total_loss: 1.6817, e_dis_loss: 0.0694, d_total_loss: 0.0557, d_dis_loss: 1.3187, attack_loss: 0.0877, label_acc: 0.0025
[6299]: fg_loss: 0.1228, e_total_loss: 1.6687, e_dis_loss: 0.0565, d_total_loss: 0.0533, d_dis_loss: 1.3541, attack_loss: 0.0844, label_acc: 0.0031
[6399]: fg_loss: 0.1162, e_total_loss: 1.6274, e_dis_loss: 0.0553, d_total_loss: 0.0532, d_dis_loss: 1.3324, attack_loss: 0.0755, label_acc: 0.0021
[6499]: fg_loss: 0.1075, e_total_loss: 1.6462, e_dis_loss: 0.0571, d_total_loss: 0.0536, d_dis_loss: 1.3347, attack_loss: 0.0750, label_acc: 0.0031
[6599]: fg_loss: 0.1158, e_total_loss: 1.8579, e_dis_loss: 0.1180, d_total_loss: 0.0557, d_dis_loss: 1.3546, attack_loss: 0.0782, label_acc: 0.0020
[6699]: fg_loss: 0.1160, e_total_loss: 1.6749, e_dis_loss: 0.0860, d_total_loss: 0.0550, d_dis_loss: 1.3046, attack_loss: 0.0785, label_acc: 0.0023
[6799]: fg_loss: 0.1022, e_total_loss: 1.6359, e_dis_loss: 0.0776, d_total_loss: 0.0540, d_dis_loss: 1.2890, attack_loss: 0.0780, label_acc: 0.0021
[6899]: fg_loss: 0.0961, e_total_loss: 1.6981, e_dis_loss: 0.1050, d_total_loss: 0.0536, d_dis_loss: 1.3062, attack_loss: 0.0841, label_acc: 0.0032
[6999]: fg_loss: 0.0843, e_total_loss: 1.6565, e_dis_loss: 0.0815, d_total_loss: 0.0526, d_dis_loss: 1.3113, attack_loss: 0.0861, label_acc: 0.0036
[7099]: fg_loss: 0.0990, e_total_loss: 1.6499, e_dis_loss: 0.0813, d_total_loss: 0.0540, d_dis_loss: 1.2859, attack_loss: 0.0809, label_acc: 0.0034
[7199]: fg_loss: 0.1139, e_total_loss: 1.6333, e_dis_loss: 0.0704, d_total_loss: 0.0534, d_dis_loss: 1.2932, attack_loss: 0.0882, label_acc: 0.0033
[7299]: fg_loss: 0.0972, e_total_loss: 1.6442, e_dis_loss: 0.0699, d_total_loss: 0.0534, d_dis_loss: 1.3116, attack_loss: 0.0824, label_acc: 0.0013
[7399]: fg_loss: 0.0956, e_total_loss: 1.6266, e_dis_loss: 0.0736, d_total_loss: 0.0533, d_dis_loss: 1.2806, attack_loss: 0.0829, label_acc: 0.0020
[7499]: fg_loss: 0.0954, e_total_loss: 1.6338, e_dis_loss: 0.0657, d_total_loss: 0.0535, d_dis_loss: 1.2953, attack_loss: 0.0845, label_acc: 0.0028
[7599]: fg_loss: 0.0875, e_total_loss: 1.6218, e_dis_loss: 0.0571, d_total_loss: 0.0518, d_dis_loss: 1.3324, attack_loss: 0.0898, label_acc: 0.0016
[7699]: fg_loss: 0.0885, e_total_loss: 1.5867, e_dis_loss: 0.0451, d_total_loss: 0.0512, d_dis_loss: 1.3107, attack_loss: 0.0873, label_acc: 0.0016
[7799]: fg_loss: 0.0999, e_total_loss: 1.6783, e_dis_loss: 0.0683, d_total_loss: 0.0527, d_dis_loss: 1.3016, attack_loss: 0.0787, label_acc: 0.0021
[7899]: fg_loss: 0.0891, e_total_loss: 1.5984, e_dis_loss: 0.0512, d_total_loss: 0.0540, d_dis_loss: 1.2783, attack_loss: 0.0826, label_acc: 0.0029
[7999]: fg_loss: 0.0954, e_total_loss: 1.6356, e_dis_loss: 0.0500, d_total_loss: 0.0551, d_dis_loss: 1.3239, attack_loss: 0.0813, label_acc: 0.0028
[8099]: fg_loss: 0.0825, e_total_loss: 1.6925, e_dis_loss: 0.0682, d_total_loss: 0.0532, d_dis_loss: 1.3248, attack_loss: 0.0831, label_acc: 0.0022
[8199]: fg_loss: 0.0762, e_total_loss: 1.6286, e_dis_loss: 0.0714, d_total_loss: 0.0529, d_dis_loss: 1.2805, attack_loss: 0.0849, label_acc: 0.0023
[8299]: fg_loss: 0.0782, e_total_loss: 1.7130, e_dis_loss: 0.0656, d_total_loss: 0.0529, d_dis_loss: 1.2839, attack_loss: 0.0804, label_acc: 0.0015
[8399]: fg_loss: 0.0796, e_total_loss: 1.5870, e_dis_loss: 0.0460, d_total_loss: 0.0537, d_dis_loss: 1.3064, attack_loss: 0.0839, label_acc: 0.0016
[8499]: fg_loss: 0.0843, e_total_loss: 1.7033, e_dis_loss: 0.0656, d_total_loss: 0.0530, d_dis_loss: 1.2945, attack_loss: 0.0802, label_acc: 0.0016
[8599]: fg_loss: 0.0783, e_total_loss: 1.7086, e_dis_loss: 0.0906, d_total_loss: 0.0511, d_dis_loss: 1.2897, attack_loss: 0.0836, label_acc: 0.0030
[8699]: fg_loss: 0.0718, e_total_loss: 1.7023, e_dis_loss: 0.0670, d_total_loss: 0.0535, d_dis_loss: 1.3046, attack_loss: 0.0820, label_acc: 0.0013
[8799]: fg_loss: 0.0673, e_total_loss: 1.6893, e_dis_loss: 0.0927, d_total_loss: 0.0546, d_dis_loss: 1.2967, attack_loss: 0.0798, label_acc: 0.0020
[8899]: fg_loss: 0.0587, e_total_loss: 1.6829, e_dis_loss: 0.0744, d_total_loss: 0.0552, d_dis_loss: 1.2967, attack_loss: 0.0811, label_acc: 0.0019
[8999]: fg_loss: 0.0816, e_total_loss: 1.6300, e_dis_loss: 0.0673, d_total_loss: 0.0537, d_dis_loss: 1.2894, attack_loss: 0.0809, label_acc: 0.0014
[9099]: fg_loss: 0.0721, e_total_loss: 1.6395, e_dis_loss: 0.0879, d_total_loss: 0.0533, d_dis_loss: 1.2950, attack_loss: 0.0818, label_acc: 0.0005
[9199]: fg_loss: 0.0830, e_total_loss: 1.6473, e_dis_loss: 0.0732, d_total_loss: 0.0537, d_dis_loss: 1.2764, attack_loss: 0.0863, label_acc: 0.0030
[9299]: fg_loss: 0.0605, e_total_loss: 1.6049, e_dis_loss: 0.0581, d_total_loss: 0.0540, d_dis_loss: 1.2662, attack_loss: 0.0803, label_acc: 0.0048
[9399]: fg_loss: 0.0717, e_total_loss: 1.6453, e_dis_loss: 0.0753, d_total_loss: 0.0518, d_dis_loss: 1.2933, attack_loss: 0.0780, label_acc: 0.0012
[9499]: fg_loss: 0.0906, e_total_loss: 1.6116, e_dis_loss: 0.0634, d_total_loss: 0.0535, d_dis_loss: 1.2812, attack_loss: 0.0743, label_acc: 0.0026
[9599]: fg_loss: 0.0708, e_total_loss: 1.6277, e_dis_loss: 0.0702, d_total_loss: 0.0545, d_dis_loss: 1.2942, attack_loss: 0.0807, label_acc: 0.0022
[9699]: fg_loss: 0.0652, e_total_loss: 1.6291, e_dis_loss: 0.0706, d_total_loss: 0.0536, d_dis_loss: 1.2848, attack_loss: 0.0789, label_acc: 0.0015
[9799]: fg_loss: 0.0684, e_total_loss: 1.6736, e_dis_loss: 0.0547, d_total_loss: 0.0544, d_dis_loss: 1.2901, attack_loss: 0.0797, label_acc: 0.0028
[9899]: fg_loss: 0.0596, e_total_loss: 1.6689, e_dis_loss: 0.0745, d_total_loss: 0.0537, d_dis_loss: 1.2565, attack_loss: 0.0821, label_acc: 0.0040
[9999]: fg_loss: 0.0540, e_total_loss: 1.6354, e_dis_loss: 0.0450, d_total_loss: 0.0523, d_dis_loss: 1.2429, attack_loss: 0.0818, label_acc: 0.0019
[10099]: fg_loss: 0.0638, e_total_loss: 1.6148, e_dis_loss: 0.0504, d_total_loss: 0.0526, d_dis_loss: 1.2529, attack_loss: 0.0801, label_acc: 0.0020
[10199]: fg_loss: 0.0632, e_total_loss: 1.5907, e_dis_loss: 0.0667, d_total_loss: 0.0527, d_dis_loss: 1.3171, attack_loss: 0.0823, label_acc: 0.0024
[10299]: fg_loss: 0.0780, e_total_loss: 1.6369, e_dis_loss: 0.0580, d_total_loss: 0.0520, d_dis_loss: 1.2984, attack_loss: 0.0819, label_acc: 0.0027
[10399]: fg_loss: 0.0672, e_total_loss: 1.6773, e_dis_loss: 0.0479, d_total_loss: 0.0545, d_dis_loss: 1.2812, attack_loss: 0.0814, label_acc: 0.0037
[10499]: fg_loss: 0.0542, e_total_loss: 1.6196, e_dis_loss: 0.0713, d_total_loss: 0.0524, d_dis_loss: 1.2587, attack_loss: 0.0818, label_acc: 0.0016
[10599]: fg_loss: 0.0653, e_total_loss: 1.6915, e_dis_loss: 0.0932, d_total_loss: 0.0526, d_dis_loss: 1.2653, attack_loss: 0.0814, label_acc: 0.0013
[10699]: fg_loss: 0.0705, e_total_loss: 1.6441, e_dis_loss: 0.0607, d_total_loss: 0.0526, d_dis_loss: 1.2995, attack_loss: 0.0851, label_acc: 0.0023
[10799]: fg_loss: 0.0612, e_total_loss: 1.6785, e_dis_loss: 0.0782, d_total_loss: 0.0511, d_dis_loss: 1.2501, attack_loss: 0.0831, label_acc: 0.0025
[10899]: fg_loss: 0.0601, e_total_loss: 1.6580, e_dis_loss: 0.0723, d_total_loss: 0.0523, d_dis_loss: 1.2703, attack_loss: 0.0871, label_acc: 0.0056
[10999]: fg_loss: 0.0567, e_total_loss: 1.6144, e_dis_loss: 0.0669, d_total_loss: 0.0514, d_dis_loss: 1.2893, attack_loss: 0.0855, label_acc: 0.0042
[11099]: fg_loss: 0.0630, e_total_loss: 1.7181, e_dis_loss: 0.0881, d_total_loss: 0.0520, d_dis_loss: 1.2552, attack_loss: 0.0897, label_acc: 0.0085
[11199]: fg_loss: 0.0556, e_total_loss: 1.6129, e_dis_loss: 0.0498, d_total_loss: 0.0529, d_dis_loss: 1.2765, attack_loss: 0.0885, label_acc: 0.0122
[11299]: fg_loss: 0.0597, e_total_loss: 1.5978, e_dis_loss: 0.0538, d_total_loss: 0.0526, d_dis_loss: 1.2942, attack_loss: 0.0858, label_acc: 0.0055
[11399]: fg_loss: 0.0696, e_total_loss: 1.5925, e_dis_loss: 0.0673, d_total_loss: 0.0543, d_dis_loss: 1.3028, attack_loss: 0.0865, label_acc: 0.0028
[11499]: fg_loss: 0.0703, e_total_loss: 1.5990, e_dis_loss: 0.0543, d_total_loss: 0.0529, d_dis_loss: 1.2855, attack_loss: 0.0841, label_acc: 0.0021
[11599]: fg_loss: 0.0642, e_total_loss: 1.6750, e_dis_loss: 0.0564, d_total_loss: 0.0524, d_dis_loss: 1.2596, attack_loss: 0.0889, label_acc: 0.0047
[11699]: fg_loss: 0.0539, e_total_loss: 1.5847, e_dis_loss: 0.0597, d_total_loss: 0.0517, d_dis_loss: 1.2712, attack_loss: 0.0907, label_acc: 0.0065
[11799]: fg_loss: 0.0621, e_total_loss: 1.6137, e_dis_loss: 0.0478, d_total_loss: 0.0514, d_dis_loss: 1.2646, attack_loss: 0.0855, label_acc: 0.0071
[11899]: fg_loss: 0.0556, e_total_loss: 1.6662, e_dis_loss: 0.0790, d_total_loss: 0.0523, d_dis_loss: 1.2376, attack_loss: 0.0859, label_acc: 0.0022
[11999]: fg_loss: 0.0449, e_total_loss: 1.6921, e_dis_loss: 0.0587, d_total_loss: 0.0520, d_dis_loss: 1.2770, attack_loss: 0.0878, label_acc: 0.0045
[12099]: fg_loss: 0.0497, e_total_loss: 1.6426, e_dis_loss: 0.0566, d_total_loss: 0.0528, d_dis_loss: 1.2802, attack_loss: 0.0820, label_acc: 0.0021
[12199]: fg_loss: 0.0582, e_total_loss: 1.5952, e_dis_loss: 0.0450, d_total_loss: 0.0524, d_dis_loss: 1.2799, attack_loss: 0.0796, label_acc: 0.0059
[12299]: fg_loss: 0.0517, e_total_loss: 1.6194, e_dis_loss: 0.0491, d_total_loss: 0.0529, d_dis_loss: 1.2637, attack_loss: 0.0791, label_acc: 0.0043
[12399]: fg_loss: 0.0619, e_total_loss: 1.5989, e_dis_loss: 0.0454, d_total_loss: 0.0521, d_dis_loss: 1.2699, attack_loss: 0.0793, label_acc: 0.0056
[12499]: fg_loss: 0.0544, e_total_loss: 1.6544, e_dis_loss: 0.0423, d_total_loss: 0.0516, d_dis_loss: 1.2509, attack_loss: 0.0850, label_acc: 0.0083
[12599]: fg_loss: 0.0442, e_total_loss: 1.5974, e_dis_loss: 0.0374, d_total_loss: 0.0526, d_dis_loss: 1.2775, attack_loss: 0.0845, label_acc: 0.0064
[12699]: fg_loss: 0.0441, e_total_loss: 1.6395, e_dis_loss: 0.0552, d_total_loss: 0.0519, d_dis_loss: 1.2782, attack_loss: 0.0793, label_acc: 0.0073
[12799]: fg_loss: 0.0460, e_total_loss: 1.6817, e_dis_loss: 0.0547, d_total_loss: 0.0522, d_dis_loss: 1.2572, attack_loss: 0.0820, label_acc: 0.0035
[12899]: fg_loss: 0.0557, e_total_loss: 1.8129, e_dis_loss: 0.1224, d_total_loss: 0.0522, d_dis_loss: 1.2160, attack_loss: 0.0791, label_acc: 0.0034
[12999]: fg_loss: 0.0533, e_total_loss: 1.6556, e_dis_loss: 0.0497, d_total_loss: 0.0522, d_dis_loss: 1.2129, attack_loss: 0.0793, label_acc: 0.0053
[13099]: fg_loss: 0.0493, e_total_loss: 1.5813, e_dis_loss: 0.0506, d_total_loss: 0.0529, d_dis_loss: 1.2454, attack_loss: 0.0829, label_acc: 0.0040
[13199]: fg_loss: 0.0498, e_total_loss: 1.6512, e_dis_loss: 0.0546, d_total_loss: 0.0522, d_dis_loss: 1.2857, attack_loss: 0.0843, label_acc: 0.0023
[13299]: fg_loss: 0.0522, e_total_loss: 1.6624, e_dis_loss: 0.0740, d_total_loss: 0.0528, d_dis_loss: 1.2845, attack_loss: 0.0847, label_acc: 0.0019
[13399]: fg_loss: 0.0510, e_total_loss: 1.6510, e_dis_loss: 0.0645, d_total_loss: 0.0508, d_dis_loss: 1.2250, attack_loss: 0.0780, label_acc: 0.0013
[13499]: fg_loss: 0.0601, e_total_loss: 1.5837, e_dis_loss: 0.0412, d_total_loss: 0.0531, d_dis_loss: 1.2621, attack_loss: 0.0849, label_acc: 0.0013
[13599]: fg_loss: 0.0521, e_total_loss: 1.6045, e_dis_loss: 0.0505, d_total_loss: 0.0533, d_dis_loss: 1.2111, attack_loss: 0.0793, label_acc: 0.0023
[13699]: fg_loss: 0.0461, e_total_loss: 1.6119, e_dis_loss: 0.0531, d_total_loss: 0.0538, d_dis_loss: 1.2256, attack_loss: 0.0819, label_acc: 0.0016
[13799]: fg_loss: 0.0447, e_total_loss: 1.6685, e_dis_loss: 0.0603, d_total_loss: 0.0542, d_dis_loss: 1.2554, attack_loss: 0.0765, label_acc: 0.0050
[13899]: fg_loss: 0.0569, e_total_loss: 1.7226, e_dis_loss: 0.0637, d_total_loss: 0.0548, d_dis_loss: 1.2389, attack_loss: 0.0751, label_acc: 0.0031
[13999]: fg_loss: 0.0484, e_total_loss: 1.5842, e_dis_loss: 0.0449, d_total_loss: 0.0529, d_dis_loss: 1.1995, attack_loss: 0.0816, label_acc: 0.0013
[14099]: fg_loss: 0.0469, e_total_loss: 1.6562, e_dis_loss: 0.0602, d_total_loss: 0.0529, d_dis_loss: 1.2343, attack_loss: 0.0829, label_acc: 0.0016
[14199]: fg_loss: 0.0534, e_total_loss: 1.6481, e_dis_loss: 0.0470, d_total_loss: 0.0525, d_dis_loss: 1.2097, attack_loss: 0.0826, label_acc: 0.0016
[14299]: fg_loss: 0.0445, e_total_loss: 1.6537, e_dis_loss: 0.0461, d_total_loss: 0.0532, d_dis_loss: 1.2219, attack_loss: 0.0829, label_acc: 0.0016
[14399]: fg_loss: 0.0449, e_total_loss: 1.6957, e_dis_loss: 0.0651, d_total_loss: 0.0535, d_dis_loss: 1.2296, attack_loss: 0.0813, label_acc: 0.0019
