Start experiments on cifar10 at level=7 with {'e_lr': 0.001, 'e_dis_lr': 2e-05, 'lambda1': 0.02, 'd_lr': 0.0005, 'd_dis_lr': 1e-08, 'lambda2': 2e-05}
[5699]: fg_loss: 0.0764, e_total_loss: 0.4057, e_dis_loss: 0.1206, d_total_loss: 0.0212, d_dis_loss: 0.0000, attack_loss: 0.0344
[5799]: fg_loss: 0.0674, e_total_loss: 0.4285, e_dis_loss: 0.1490, d_total_loss: 0.0211, d_dis_loss: 0.0000, attack_loss: 0.0365
[5899]: fg_loss: 0.0628, e_total_loss: 0.3876, e_dis_loss: 0.1267, d_total_loss: 0.0208, d_dis_loss: 0.0000, attack_loss: 0.0354
[5999]: fg_loss: 0.0613, e_total_loss: 0.3958, e_dis_loss: 0.1431, d_total_loss: 0.0213, d_dis_loss: 0.0000, attack_loss: 0.0365
[6099]: fg_loss: 0.0665, e_total_loss: 0.4095, e_dis_loss: 0.1476, d_total_loss: 0.0213, d_dis_loss: 0.0000, attack_loss: 0.0337
[6199]: fg_loss: 0.0652, e_total_loss: 0.3846, e_dis_loss: 0.1319, d_total_loss: 0.0215, d_dis_loss: 0.0000, attack_loss: 0.0345
[6299]: fg_loss: 0.0594, e_total_loss: 0.3896, e_dis_loss: 0.1642, d_total_loss: 0.0210, d_dis_loss: 0.0000, attack_loss: 0.0332
[6399]: fg_loss: 0.0715, e_total_loss: 0.3903, e_dis_loss: 0.1638, d_total_loss: 0.0213, d_dis_loss: 0.0000, attack_loss: 0.0334
[6499]: fg_loss: 0.0625, e_total_loss: 0.3861, e_dis_loss: 0.1458, d_total_loss: 0.0212, d_dis_loss: 0.0000, attack_loss: 0.0339
[6599]: fg_loss: 0.0655, e_total_loss: 0.3866, e_dis_loss: 0.1731, d_total_loss: 0.0212, d_dis_loss: 0.0000, attack_loss: 0.0342
[6699]: fg_loss: 0.0654, e_total_loss: 0.3488, e_dis_loss: 0.1601, d_total_loss: 0.0204, d_dis_loss: 0.0000, attack_loss: 0.0330
[6799]: fg_loss: 0.0581, e_total_loss: 0.3471, e_dis_loss: 0.1647, d_total_loss: 0.0208, d_dis_loss: 0.0000, attack_loss: 0.0329
[6899]: fg_loss: 0.0571, e_total_loss: 0.3549, e_dis_loss: 0.1606, d_total_loss: 0.0210, d_dis_loss: 0.0000, attack_loss: 0.0328
[6999]: fg_loss: 0.0519, e_total_loss: 0.3634, e_dis_loss: 0.1503, d_total_loss: 0.0208, d_dis_loss: 0.0000, attack_loss: 0.0323
